2024-04-13 15:32:58.680 [restartedMain] INFO  com.zyc.MicroBootApplication - Starting MicroBootApplication using Java 17.0.10 with PID 9240 (D:\Item\microboot\microboot\microboot-web\build\classes\java\main started by 12611 in D:\Item\microboot\microboot\microboot-web)
2024-04-13 15:32:58.682 [restartedMain] INFO  com.zyc.MicroBootApplication - The following 1 profile is active: "dev"
2024-04-13 15:32:58.714 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-04-13 15:32:58.715 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-04-13 15:32:59.304 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-04-13 15:32:59.311 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-04-13 15:32:59.312 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-04-13 15:32:59.312 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
2024-04-13 15:32:59.348 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-04-13 15:32:59.348 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 633 ms
2024-04-13 15:32:59.364 [restartedMain] INFO  o.s.boot.web.servlet.RegistrationBean - Filter characterEncodingFilter was not registered (possibly already registered?)
2024-04-13 15:32:59.393 [restartedMain] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2024-04-13 15:32:59.435 [restartedMain] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2024-04-13 16:09:14.903 [restartedMain] INFO  com.zyc.MicroBootApplication - Starting MicroBootApplication using Java 17.0.10 with PID 14416 (D:\Item\microboot\microboot\microboot-web\build\classes\java\main started by 12611 in D:\Item\microboot\microboot\microboot-web)
2024-04-13 16:09:14.904 [restartedMain] INFO  com.zyc.MicroBootApplication - The following 1 profile is active: "dev"
2024-04-13 16:09:14.935 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-04-13 16:09:14.935 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-04-13 16:09:15.633 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-04-13 16:09:15.640 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-04-13 16:09:15.641 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-04-13 16:09:15.641 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
2024-04-13 16:09:15.677 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-04-13 16:09:15.678 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 742 ms
2024-04-13 16:09:15.693 [restartedMain] INFO  o.s.boot.web.servlet.RegistrationBean - Filter characterEncodingFilter was not registered (possibly already registered?)
2024-04-13 16:09:15.761 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2024-04-13 16:09:15.762 [restartedMain] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2024-04-13 16:09:15.803 [restartedMain] INFO  o.s.b.a.logging.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
